link,Nome,Pontuação,Avaliações,somelier,tipo,origem,Vinícola,Teor Alcoólico,Amadurecimento,Safra,Classificação,Visual,Olfativo,Gustativo,Temperatura de serviço,Potencial de guarda,Harmonização
https://wine.com.br/vinhos/corello-i-g-t-puglia-primitivo-2018/prod22823.html,Corello I.G.T. Puglia Primitivo 2018,4.5,36,"Frutas vermelhas, alcatrão e alcaçuz são alguns dos aromas desse vinho de paladar frutado, com acidez agradável, taninos macios e corpo de leve para médio. Chamada de Zinfandel na Califórnia, a uva Primitivo possui uma coloração intensa, uma de suas características mais marcantes.",Tinto,Itália-Puglia,Cantina Malizia,13.00% ABV,Em tanques de aço inox.,2018,Meio Seco/Demi-Sec,Rubi intenso,"Frutas vermelhas, alcatrão, alcaçuz.","Frutado, acidez agradável, taninos macios, corpo de leve para médio.",15 °C,4 anos,"Alcatra assada ao molho de especiarias, cane-seca com abóbora, orecchiette alla pugliese, frango ao molho teriyaki, pizza de tomate seco e manjericão, queijos semiduros."
https://wine.com.br/vinhos/maison-le-star-rose-on-ice/prod18479.html,Maison Le Star Rosé On Ice,3.5,26,"Rosé francês frutado, leve, fresco e com doçura média, idealizado para ser apreciado colocando-se cubos de gelo na taça. É ideal como um refrescante aperitivo, em meio a uma agradável conversa, e acompanhando aperitivos ou pratos leves. Um vinho informal e divertido.",Rosé,,Maison Le Star,11.50% ABV,Em tanques de aço inox.,,Meio Seco/Demi-Sec,Rosa claro,Frutas vermelhas,"Leve, acidez agradável, frutado, doçura média",8 °C,3 anos,"Salada de frutos do mar, bruschettas e tapas, canapés, tabuas de frios e queijos, pizzas, ou simplesmente como aperitivo com cubos de gelo na taça."
https://wine.com.br/vinhos/gerard-bertrand-grand-terroir-a-o-p-les-aspres-2015/prod19395.html,Gérard Bertrand Grand Terroir A.O.P. Les Aspres 2015,1.0,2,"Nasce de videiras cultivada em Les Aspres (árido em catalão), que faz referência ao clima e aspecto do local. Lá as uvas atingem seu ponto ideal de maturação, resultando neste exemplar rico em aromas de frutas maduras e paladar macio. É elaborado pelo renomado produtor da região, Gérard Bertrand. Pontuado com 91 pontos por Robert Parker.",Tinto,França-Les Aspres,Gérard Bertrand,14.00% ABV,33% do vinho por 9 meses em barris de carvalho.,2015,Seco,Rubi,"Frutas negras maduras, tosta, erva doce, noz-moscada","Médio corpo, taninos sedosos, acidez agradável, boa persistência",16 °C,7 anos,"Pernil de cordeiro assado, paleta de javali cozida em vinho tinto com polenta cremosa trufada, pappardelle com ragu de pato, risoto de arroz negro com mix de cogumelos, borsch (sopa de beterraba), queijos semiduros."
https://wine.com.br/vinhos/canepa-novisimo-cabernet-sauvignon-2017/prod19252.html,Canepa Novísimo Cabernet Sauvignon 2017,3.5,18,"Jovem e com um estilo que agrada com facilidade, esse versátil rótulo pode ser degustado sozinho ou harmonizado com receitas do dia a dia. A Viña Canepa, fundada no Chile por imigrantes italianos, iniciou a produção da linha Novísimo nos anos 80.",Tinto,,Viña Canepa,12.00% ABV,Breve passagem por barricas.,2017,Meio Seco/Demi-Sec,Rubi,"Frutas vermelhas frescas, especiarias, vegetal","Médio corpo, frutado, acidez agradável, taninos macios, final agradável",15 °C,4 anos,"Lagarto assado, torta de queijo, tiras de carne acebolada, berinjela à parmegiana, panqueca de carne e queijos como minas padrão, montanhês, gouda e gruyere."
https://wine.com.br/vinhos/ropiteau-freres-les-plants-nobles-pinot-noir-2017/prod22808.html,Ropiteau Frères Les Plants Nobles Pinot Noir 2017,4.5,44,"Com aroma de frutas vermelhas, sobre notas de tosta, baunilha e coco, esse exemplar traz um paladar frutado, fresco e com taninos delicados, características marcantes dos vinhos elaborados no sul da França. Com o objetivo de disseminar os seus rótulos e a sua paixão pelo mundo do vinho, a Roupiteau Frères expandiu a sua produção para outras regiões além da Borgonha, entre elas o sul da França, que segundo algumas literaturas recebeu as primeiras vinhas de gregos e romanos em 600 a.C.",Tinto,França-Languedoc-Roussillon,Ropiteau Frères,12.50% ABV,Um terço do vinho estagiou em barricas de carvalho.,2017,Seco,Rubi,"Frutas vermelhas, tosta, baunilha, coco","Corpo de leve para médio, fresco, taninos delicados, frutado, alcaçuz",15 °C,4 anos,"Ratatouille, iscas de filé mignon acebolado, nhoque de beterraba ao sugo, lagarto recheado, espaguete à bolonhesa, e queijos semiduros."
https://wine.com.br/vinhos/punta-paramo-malbec-2018/prod20965.html,Punta Paramo Malbec 2018,3.5,8,"Estilo de Malbec fácil de beber e macio, ideal para o dia a dia dos iniciantes no mundo do vinho e também dos experts. Foi pontuado com 90 pontos (medalha de prata) pela Decanter Asia Wine Awards. A vinícola responsável por esse exemplar é a Don Cristóbal que possui muita tradição na elaboração de vinhos argentinos.",Tinto,Argentina-Mendoza,Bodega Don Cristóbal 1492,13.80% ABV,Parte do vinho amadureceu em barricas de carvalho por 9 meses.,2018,Seco,Rubi com reflexos violáceos,"Frutas vermelhas, leve amadeirado, nuances de chocolate e baunilha","Corpo de leve para médio, taninos macios, acidez agradável",15 °C,7 anos,"Fraldinha ao forno, pizza de calabresa, quiche de quatro queijos, filé com fritas, penne ao sugo com almôndegas, queijos semiduros."
https://wine.com.br/vinhos/frisante-porta-soprana-lambrusco-i-g-p-emilia-branco-amabile-suave/prod6944.html,Frisante Porta Soprana Lambrusco I.G.P. Emilia Branco Amabile Suave,4.5,215,"Esse frisante branco tem aromas de frutas brancas frescas, é leve, agradavelmente doce, refrescante e cremoso. Ideal para beber em ocasiões festivas ou no dia a dia, com alegria e sem compromisso. Um produto com a marca dos 150 anos de experiência da Cantina Chiarli.",Frisante,Itália-Emilia-Romagna,Chiarli,7.50% ABV,Sem passagem por carvalho.,,Suave/Doce,Amarelo claro.,"Frutas brancas, como pera e maçã e toque floral.","Leve, refrescante, com paladar adocicado e fácil de beber.",7 °C,2 anos,"Saladas de folhas verdes, espaguete ao molho de gorgonzola, peixes, tabule, quiche de palmito, torta de maçã."
https://wine.com.br/vinhos/champagne-montaudon-brut/prod3170.html,Champagne Montaudon Brut,4.5,156,"Com notas de frutas brancas, mel, pão e fermento no aroma, o Champagne Montaudon Brut preenche o paladar com sua cremosidade, boa acidez, médio corpo e delicada perlage. Elaborado pela Maison Montaudon, uma tradicional casa de Champagne fundada em 1891.",Espumante,França-Champagne,Maison Montaudon,12.00% ABV,Mínimo de 2 anos nas caves.,,Brut,Amarelo-palha ,"Frutas brancas, mel, torradas, pão, fermento","Cremoso, boa acidez, médio corpo, elegante",9 °C,3 anos,"Ostras, salmão defumado, robalo grelhado com purê de mandioquinha, risoto de lula, moqueca, pupunha assada, pastel de queijo brie, queijos brancos moles."
https://wine.com.br/vinhos/marques-de-somera-garnacha-2018/prod22847.html,Marqués de Somera Garnacha 2018,4.0,16,"Esse exemplar é elaborado na região espanhola de Cariñena, a segunda Denominação de Origem mais antiga do país. A uva Garnacha, apesar de pouco conhecida pelos brasileiros, é uma das tintas mais cultivadas no mundo e nesse exemplar se mostra com um perfil jovem e moderno.",Tinto,Espanha-Cariñena,Covinca,13.00% ABV,Em tanques de aço inox. ,2018,Seco,Rubi,"Frutas vermelhas, pimenta-preta, violeta ","Médio corpo, frutado, fresco, taninos macios, ",15 °C,4 anos,"Nhoque à bolonhesa, filé à parmigiana, arroz carreteiro, lasanha de berinjela, iscas de carne acebolada, espaguete ao sugo."
https://wine.com.br/vinhos/dark-horse-the-original-california-rose-2018/prod22842.html,Dark Horse The Original California Rosé 2018,4.0,1,"A enóloga da Dark Horse, Beth Liston, decidiu aproveitar o verão com as uvas e criar um vinho seco e ao estilo de Provence, para que todos possam apreciar.
Um californiano potente com a elegância de um francês! Imperdível!",Rosé,Estados Unidos-Califórnia,Dark Horse,13.00% ABV,Em tanques de aço inox.,2018,Seco,Rosa pálido,"Frutas vermelhas, morango e um toque mineral","Frutado, bela acidez e final agradável",10 °C,3 anos,"Bolinho de bacalhau, salmão grelhado, quiche de palmito, salada de folhas verdes com morangos, wrap vegetariano."
https://wine.com.br/vinhos/senorio-de-ayud-garnacha-syrah-2018/prod22835.html,Señorío De Ayud Garnacha Syrah 2018,4.0,17,"Elaborado em Calatayud, localizada no norte da Espanha, esse tinto mescla as uvas Garnacha e Syrah, porém a maior parcela é de Garnacha, a variedade emblemática dessa região vitivinícola espanhola. Por traz desse rótulo de estilo moderno e descomplicado, está a Bodegas Langa, com mais de 150 anos de história.",Tinto,Espanha-Calatayud,Bodegas Langa,14.50% ABV,"4 a 6 meses em barricas de carvalho, mais 6 meses em garrafa.",2018,Seco,Rubi com reflexos violáceos,"Frutas maduras, violeta, tostado","Frutado, corpo de leve para médio, taninos presentes, boa acidez",15 °C,5 anos,"Risoto de gruyère e linguiça calabresa, pizza de lombinho, berinjela à bolonhesa, tomates recheados, bolinho de mandioca com carne-seca, lasanha quatro queijos."
https://wine.com.br/vinhos/ropiteau-pinot-noir-2017/prod22807.html,Ropiteau Pinot Noir 2017,,,"Pinot Noir da Borgonha com aromas de frutas como cereja, framboesa e morango, associadas a leve nota mentolada, nuance defumada e de especiarias. No paladar, é aveludado, possui notas frutadas, toque da madeira, acidez equilibrada e boa persistência. A primavera quente e seca da Borgonha, em 2014, permitiu um bom florescimento das vinhas. No verão, o sol demorou a aparecer, mas em setembro as uvas amadureceram com maestria e conseguiram conquistar bom potencial aromático com manutenção da acidez.",Tinto,França-Bourgogne,Ropiteau Frères,12.50% ABV,6 meses em barricas de carvalho.,2017,Seco,Rubi claro,"Frutas como cereja, framboesa e morango, associadas a leve nota mentolada, nuance defumada e de especiarias.","Aveludado, notas frutadas com toque da madeira, acidez equilibrada e boa persistência.",15 °C,6 anos,"Polenta mole com ragu de linguiça e cogumelos, talharim de pupunha com molho branco, rosbife de alcatra, marinada de legumes e cogumelos, risoto primavera com tiras de mignon, chester ao forno."
https://wine.com.br/vinhos/terrazas-de-los-andes-altos-del-plata-syrah-2018/prod22806.html,Terrazas de los Andes Altos del Plata Syrah 2018,,,"As uvas desse vinho são cultivadas no Córdon del Plata, na Cordilheira dos Andes, local de altitude elevada com terroir único. A qualidade da Syrah manuseada com maestria pela vinícola Terrazas de los Andes, gera vinhos saborosos que agradam os mais diversos paladares.",Tinto,Argentina-Mendoza,Terrazas de los Andes,14.50% ABV,6 meses em barricas de carvalho.,2018,Seco,Rubi,"Pimenta-do-reino, frutas negras, leve amadeirado","Corpo de leve para médio, taninos macios, acidez agradável, final agradável",15 °C,4 anos,"Escondidinho de carne-seca com requeijão, baião de dois, bruschetta de tomate e manjericão, espaguete à marinara, costelinha suína com legumes, queijos semi-duros."
https://wine.com.br/vinhos/sovento-sauvignon-blanc-2018/prod22855.html,Sovento Sauvignon Blanc 2018,3.5,5,"Branco descomplicado para beber geladinho na piscina, em dias quentes. Frescor e fruta marcam o vinho.",Branco,Espanha-Castilla La Mancha,Bodegas Fernando Castro,11.50% ABV,Em tanques de aço inox,2018,Seco,Amarelo-claro,"Floral, frutas tropicais, pêssego","Boa acidez, refrescante e equilibrado",9 °C,3 anos,"Entradas leves, saladas, peixes"
