wine,link,pontuação,avaliações,volume
Papa Açorda Colheita Tinto 2018,https://wine.com.br/vinhos/papa-acorda-colheita-tinto-2018/prod22988.html,,(4),750.00 ml
Castelo dos Mouros Colheita Tinto 2017,https://wine.com.br/vinhos/castelo-dos-mouros-colheita-tinto-2017/prod22987.html,,(2),750.00 ml
San Ceteo Primitivo 2017,https://wine.com.br/vinhos/san-ceteo-primitivo-2017/prod22997.html,,(2),750.00 ml
Casa Valduga Naturelle Rosé Suave 2019,https://wine.com.br/vinhos/casa-valduga-naturelle-rose-suave-2019/prod23027.html,,,750.00 ml
San Ceteo Traviata,https://wine.com.br/vinhos/san-ceteo-traviata/prod23000.html,,(4),750.00 ml
Santa Helena Reservado Carménère 2018,https://wine.com.br/vinhos/santa-helena-reservado-carmenere-2018/prod23004.html,,,750.00 ml
Trapiche Vineyards Cabernet Sauvignon 2018,https://wine.com.br/vinhos/trapiche-vineyards-cabernet-sauvignon-2018/prod23010.html,,,750.00 ml
Garriguette Rosé,https://wine.com.br/vinhos/garriguette-rose/prod22965.html,,(11),750.00 ml
Rasante Malbec / Cabernet Sauvignon 2018,https://wine.com.br/vinhos/rasante-malbec-cabernet-sauvignon-2018/prod22936.html,,(10),750.00 ml
L´Empreinte Merlot 2018,https://wine.com.br/vinhos/l-empreinte-merlot-2018/prod22974.html,,(1),750.00 ml
San Ceteo Sangiovese 2018,https://wine.com.br/vinhos/san-ceteo-sangiovese-2018/prod22998.html,,(2),750.00 ml
Fantinel Borgo Tesis Pinot Grigio Doc Friuli 2018,https://wine.com.br/vinhos/fantinel-borgo-tesis-pinot-grigio-doc-friuli-2018/prod22959.html,,(4),750.00 ml
Bonne Esperance White,https://wine.com.br/vinhos/bonne-esperance-white/prod22969.html,,(7),750.00 ml
Trapiche Vineyards Chardonnay 2018,https://wine.com.br/vinhos/trapiche-vineyards-chardonnay-2018/prod23012.html,,,750.00 ml
Perdigón Espumante Brut,https://wine.com.br/vinhos/perdigon-espumante-brut/prod22942.html,,(22),750.00 ml
Miolo Reserva Sauvignon Blanc 2019,https://wine.com.br/vinhos/miolo-reserva-sauvignon-blanc-2019/prod23023.html,,,750.00 ml
Rasante Espumante,https://wine.com.br/vinhos/rasante-espumante/prod22943.html,,(8),750.00 ml
Seremos Malbec Syrah 2019,https://wine.com.br/vinhos/seremos-malbec-syrah-2019/prod22951.html,,(5),750.00 ml
Señorío de Ayud Cabernet Sauvignon Syrah 2018,https://wine.com.br/vinhos/senorio-de-ayud-cabernet-sauvignon-syrah-2018/prod22834.html,,(14),750.00 ml
Dark Horse The Original California Rosé 2018,https://wine.com.br/vinhos/dark-horse-the-original-california-rose-2018/prod22842.html,,(1),750.00 ml
Señorío De Ayud Garnacha Syrah 2018,https://wine.com.br/vinhos/senorio-de-ayud-garnacha-syrah-2018/prod22835.html,,(16),750.00 ml
Dark Horse The Original Cabernet Sauvignon 2017,https://wine.com.br/vinhos/dark-horse-the-original-cabernet-sauvignon-2017/prod22841.html,,(5),750.00 ml
Latitud 33° Malbec 2018,https://wine.com.br/vinhos/latitud-33-malbec-2018/prod22749.html,,(9),750.00 ml
Corello I.G.T. Puglia Primitivo 2018,https://wine.com.br/vinhos/corello-i-g-t-puglia-primitivo-2018/prod22823.html,,(32),750.00 ml
Ropiteau Frères Les Plants Nobles Pinot Noir 2017,https://wine.com.br/vinhos/ropiteau-freres-les-plants-nobles-pinot-noir-2017/prod22808.html,,(43),750.00 ml
Marqués de Somera Garnacha 2018,https://wine.com.br/vinhos/marques-de-somera-garnacha-2018/prod22847.html,,(16),750.00 ml
Clos Dalian Crianza D.O. Terra Alta Garnacha Tinta 2015,https://wine.com.br/vinhos/clos-dalian-crianza-d-o-terra-alta-garnacha-tinta-2015/prod22803.html,,(235),750.00 ml
Ropiteau Pinot Noir 2017,https://wine.com.br/vinhos/ropiteau-pinot-noir-2017/prod22807.html,,,750.00 ml
Clos Dalian D.O. Terra Alta Garnacha Tinta 2017,https://wine.com.br/vinhos/clos-dalian-d-o-terra-alta-garnacha-tinta-2017/prod22802.html,,(199),750.00 ml
Espumante Séries By Salton Moscatel,https://wine.com.br/vinhos/espumante-series-by-salton-moscatel/prod22774.html,,,"
                                                                                                                                                    "
Mad Chief Chardonnay 2018,https://wine.com.br/vinhos/mad-chief-chardonnay-2018/prod22742.html,,(37),750.00 ml
Nato Sauvignon Blanc 2018,https://wine.com.br/vinhos/nato-sauvignon-blanc-2018/prod22743.html,,(33),750.00 ml
