Nome,Preço_Sócio,Preço_Normal,Pontuação,Avaliações
Pinhal da Torre Antagonista 2013,261.03,307.09,4.0,1
Pinhal da Torre Protagonista 2013,261.03,307.09,2.0,1
Cinco Elementos Roble D.O. Ribera del Duero Tempranillo 2016,59.91,70.48,4.0,25
Château Pilet A.O.C. Bordeaux 2016,49.74,58.52,3.5,32
Fantinel Borgo Tesis Pinot Grigio Doc Friuli 2018,65.04,76.52,3.5,4
Château Roc de Boisseaux A.O.C. Saint-Émilion 2012,260.26,306.19,2.5,2
William Hill Central Coast Cabernet Sauvignon 2016,125.04,147.1,4.5,2
Domaines Henri Maire A.O.C. Arbois Pinot Noir 2017,85.61,100.72,2.5,17
Bonne Esperance White,29.17,34.32,3.5,8
Fantinel Borgo Tesis Doc Grave Cabernet Sauvignon Friuli 2017,67.14,78.98,4.0,1
Baron Philippe de Rothschild Anderra Sauvignon Blanc 2017,41.93,49.33,4.5,3
Baron Philippe de Rothschild Anderra Carménère 2017,41.93,49.33,4.5,3
La Combe D´Or Sauvignon Blanc 2018,33.22,39.08,4.5,3
Bouquet Merlot 2018,32.18,37.86,4.0,8
Miguel Torres Reserva Ancestral Blend 2015,72.35,85.12,4.0,8
Carpineto Dogajolo I.G.T. Toscano Rosso 2017,61.67,72.55,3.5,6
La Chamiza Malbec 2018,32.83,38.62,4.0,20
Calyptra Vivendo Reserve Assemblage 2016,54.33,63.92,4.0,3
Ghost Pines Winemakers Blend Red 2016,113.9,134.0,4.5,3
Píxide D.O. Ribera del Duero Tempranillo 2016,75.14,88.4,4.0,7
Carpineto Riserva D.O.C.G. Vino Nobile di Montepulciano 2015,153.9,181.06,5.0,2
Lievland Vineyards Cabernet Sauvignon 2017,61.13,71.92,4.0,22
Fleur Du Cap Series Privée Cabernet Sauvignon 2016,100.57,118.32,,
Rantamplán D.O. Rueda Verdejo 2018,57.54,67.69,4.0,11
Torroxal D.O. Rías Baixas Albariño 2018,68.25,80.29,3.5,14
Baron Philippe de Rothschild La Bélière Rouge 2015,69.86,82.19,4.5,6
Plaisir de Merle Petit Plaisir Red Blend 2016,61.2,72.0,4.5,6
Louis M. Martini Napa Valley Cabernet Sauvignon 2016,277.9,326.94,,
Casa Burmester Reserva D.O.C. Douro Branco 2017,116.13,136.62,,
Terrazas de Los Andes Reserva Cabernet Sauvignon 2016,128.9,151.65,4.0,2
Pinhal da Torre Resiliente 2015,659.68,776.09,,
Maison Foucher Le Mont A.O.C. Sancerre Rouge 2017,173.74,204.4,,
Barahonda D.O. Yecla Verdejo 2018,50.9,59.88,5.0,1
Urmeneta Merlot 2018,26.33,30.98,3.5,30
Frei Brothers Reserve Russian River Pinot Noir 2016,137.02,161.2,,
Gallo Signature Series Russian River Valley Chardonnay 2016,218.9,257.53,4.0,1
Champagne Montaudon Brut,173.9,204.59,4.5,155
Sovento Sauvignon Blanc 2018,28.2,33.18,3.5,5
Dark Horse The Original California Rosé 2018,54.33,63.92,4.0,1
San Ceteo Primitivo 2017,32.58,38.32,3.5,2
Canepa Reserva Famiglia Chardonnay 2018,62.49,73.52,,
La Combe D´Or Cabernet Sauvignon 2018,32.18,37.86,,
San Ceteo Turandot 2018,32.58,38.32,3.5,4
Espumante Fantinel Prosecco One & Only DOC Brut 2018,78.02,91.78,4.5,9
Wanaco Merlot 2018,42.08,49.5,3.0,7
Champagne Veuve Clicquot Brut 1500 ml,934.9,1099.88,,
Champagne Veuve Clicquot Rosé Brut com Caixa Call,647.29,761.52,,
L´Empreinte Merlot 2018,32.18,37.86,4.0,1
San Ceteo Sangiovese 2018,32.58,38.32,3.5,3
Champagne Veuve Clicquot Rosé Brut com Couture Box,552.58,650.09,,
"Champagne Moët & Chandon Impérial Rosé Brut Magnum 1,5 L com Love Case",984.97,1158.79,,
"Champagne Moët & Chandon Impérial Rosé Brut Magnum 1,5 L",963.55,1133.59,,
Champagne Veuve Clicquot Rosé Brut com Cake,757.68,891.39,,
Terrazas de los Andes Single Vineyard Petit Manseng 2015 375 ml,194.9,229.29,3.5,2
Pueblo del Sol Selección de Barricas Gran Reserva 2015,308.9,363.41,4.0,5
Parlanchín D.O.Ca. Rioja 2017,116.03,136.5,5.0,2
Maison Bouachon La Tiare du Pape A.O.C. Châteauneuf-du-Pape Blanc 2016,239.9,282.24,4.5,2
Fantinel Tenuta Sant'Helena Cabernet Sauvignon 2013,78.06,91.83,3.0,10
Fantinel Tenuta Sant´Helena Merlot 2014,77.66,91.36,4.5,10
Witral Limited Edition Syrah 2016,79.94,94.05,4.0,10
Maison Bouachon La Tiare du Pape A.O.C. Châteauneuf-du-Pape Rouge 2015,239.9,282.24,5.0,1
William Hill Napa Valley Cabernet Sauvignon 2014,339.29,399.16,,
Frei Brothers Reserve Chardonnay 2016,149.87,176.32,,
Champagne Moët & Chandon Ice Impérial Demi-Sec com TAG,462.0,543.53,,
Magnum Veuve Clicquot Brut Rose,1155.0,1358.82,,
Canepa Magnificum D.O. Valle del Maipo Cabernet Sauvignon 2016,300.58,353.62,5.0,1
Canepa Reserva Famiglia Carménère 2018,55.93,65.8,4.5,3
Frei Brothers Reserve Cabernet Sauvignon 2016,149.87,176.32,,
Champagne Veuve Clicquot Vintage Brut 2008,716.87,843.38,,
Pueblo del Sol Reserva Chardonnay 2018,55.09,64.81,5.0,1
Quinta de Pancas Grande Reserva 2015,262.41,308.72,,
Maison Bouachon Cotes Du Rhone Signargues Les Bariannes Aoc 2017,75.41,88.72,,
Echo de Lynch-Bages A.O.C. Pauillac 2014,546.0,642.35,,
Château Palmer Alter Ego A.O.C. Margaux 2010,1180.9,1389.29,,
Réserve de la Comtesse A.O.C. Pauillac 2009,672.0,790.59,,
Esteban Martín D.O.P. Cariñena Crianza 2015,35.9,42.24,4.5,6
La Veguilla D.O. Ribera del Duero Crianza 2014,143.65,169.0,,
Othello Napa Valley 2012,434.0,510.59,,
Fantinel Eclisse La Roncaia I.G.T. Venezia Giulia Branco 2016,192.43,226.39,,
La Veguilla 6 Meses em Barrica 2016,70.47,82.9,,
Château Maucaillou A.O.C. Moulis 2012,230.58,271.27,5.0,1
Terra d'Uro D.O. Toro Verdejo 2017,64.94,76.4,3.5,4
Domaine L'Ostal Cazes Grand Vin 2015,172.9,203.41,,
Viñedo de los Vientos Angel's Cuvée Ripasso de Tannat 2013,182.84,215.11,5.0,22
Natana Cuvée Blanche 2017,34.93,41.09,3.5,11
Domaine de Cibadiès Bellevue Pinot Noir 2016,89.53,105.33,4.0,8
Château La Fleur-Pétrus 2014,3190.9,3754.0,,
Château Pichon Baron au Baron de Pichon-Longueville 2012,1549.9,1823.41,,
Château Lynch-Bages 2015,1954.9,2299.88,,
Chateau Latour 2011,8578.9,10092.82,,
Ulysses Napa Valley 2014,1568.0,1844.71,,
Ropiteau Frères Premier Cru A.O.C. Puligny-Montrachet  Sous Le Puits Blanc 2016,417.9,491.65,,
Fleur Du Cap Laszlo 2015,408.61,480.72,,
Fleur du Cap Noble Late Haverst 2015 375 ml,151.9,178.71,,
Ropiteau Frères A.O.C. Coteaux Bourguignons 2016,69.9,82.24,4.0,2
Viña Vilano Roble Tempranillo 2016,80.58,94.8,2.5,9
La Casica del Abuelo D.O. Alicante 2016,73.09,85.99,4.0,13
Château Lagrange A.O.C. Pomerol 2011,354.42,416.96,4.5,2
Château La Fleur-Pétrus A.O.C. Pomerol 2006,2971.9,3496.35,,
Opus One 2013,5436.9,6396.35,,
Château Clinet A.O.C Pomerol 2013,909.3,1069.76,,
Pagodes de Cos 2015,613.8,722.12,,
Pavillon Rouge du Château Margaux  2010,3148.9,3704.59,,
Château Ausone 2012,7950.9,9354.0,,
La Capitelle de Baronarques 2015,197.9,232.82,,
L'Esprit de Chevalier Blanc 2014,252.0,296.47,5.0,1
Cantine Pellegrino Nes D.O.P. Passito di Pantelleria 2016 500 ml,178.71,210.25,5.0,2
Champagne Jacquart  Blancs de Blancs Brut 2012,371.42,436.96,,
Château Haut-Brion 2007,5506.9,6478.71,,
Château Haut-Brion Le Clarence de Haut-Brion 2010,2068.9,2434.0,,
Château Mouton Rothschild Premier Grand Cru Classé A.O.C. Pauillac 2008,7636.9,8984.59,,
Château Margaux Premier Grand Cru Classé A.O.C. Margaux 2008,6889.9,8105.76,,
Rigal Les Terrasses A.O.C. Cahors Malbec 2015,48.9,57.53,3.5,15
Le Petit Mouton 2010,2400.0,2823.53,,
Château Latour A Pomerol A.O.C. Pomerol 2004,832.9,979.88,,
Porto Burmester 30 years Old Tawny,410.13,482.51,5.0,2
Beni di Batasiolo Muscatel Tardì D.O.C. Piemonte Moscato Passito 2011 375 ml,256.13,301.33,4.0,1
Château Hosanna A.O.C. Pomerol 2006,1682.0,1978.82,,
L`Hospitalet De Gazin 2010,486.5,572.35,5.0,2
Espumante Real De Aragón D.O. Cava Brut,51.14,60.16,4.0,66
Domaine Lostal Cazes White 2014,84.66,99.6,3.5,2
Champagne Veuve Clicquot Vintage Rosé 2004,597.55,703.0,5.0,1
Espumante Batasiolo Metodo Classico Extra Brut,122.43,144.04,3.0,20
Maison Bouachon Condrieu  Les Tourrays Blanc Aoc 2013,333.9,392.82,,
Château Gazin 2009,1906.9,2243.41,,
Cos D`Estournel 2008,1717.9,2021.06,,
Stave and Steele Pinotage 2017,30.94,36.4,4.0,32
Espumante BX A.O.C. Crémant de Bordeaux Rosé Brut,60.9,71.65,4.5,10
Tormentoso Cabernet Sauvignon 2016,59.91,70.48,2.5,21
Finca La Chamiza Martín Alsina Malbec 2014,237.59,279.52,,
Stave And Steele Cabernet Sauvignon 2017,30.94,36.4,3.5,3
Stave and Steele Merlot 2017,30.94,36.4,3.5,7
Beni di Batasiolo D.O.C.G. Barolo 2014,297.42,349.9,3.0,4
5 Oros Vendimia Seleccionada D.O.Ca. Rioja 2016,70.9,83.41,4.0,2
Fleur du Cap Series Privée Pinotage 2016,83.93,98.74,4.0,7
Palafitos de Mar Semi Sweet Sauvignon Blanc 2019,29.85,35.12,4.5,8
Viñedo de los Vientos Angels Cuvée Ripasso de Tannat 2015,200.13,235.45,,
Quinta de São João D.O.C. Tejo Reserva 2017,56.37,66.32,,
Viñedo de Los Vientos Eolo Gran Reserva 2014,90.35,106.3,4.5,4
Finca Constancia Parcela 52 Single Vineyard Verdejo 2018,57.54,67.69,,
Finca Constancia Selección 2016,67.14,78.98,5.0,1
Montado Tinto 2018,38.98,45.85,3.5,2
Quinta do Alqueve D.O.C. Tejo Colheita 2017,56.37,66.32,,
Bobal Desanjuan D.O.P. Utiel-Requena Rosé 2018,48.58,57.15,,
Château Roylland 2012,202.9,238.71,4.5,2
Domaine de Baronarques Blanc 2016,342.58,403.04,2.0,1
Château Palmer 2005,5180.9,6095.18,,
Cos d'Estournel 2012,1782.9,2097.53,,
Marsala Vergine Soleras Dop,172.13,202.51,,
Domaine de Baronarques 2015,342.58,403.04,,
Château Angelus 2015,5999.9,7058.71,,
Château de Beaucastel Hommage à Jacques Perrin 2010,5201.9,6119.88,,
